repo_id,name,owner,stars,updated_at
R_kgDOKWvu8g,Qwen-Agent,QwenLM,12177,2025-11-01 12:08:38.960823
R_kgDOJigVDg,developer,smol-ai,12173,2025-11-01 12:08:41.283763
R_kgDOJY8zqg,shap-e,openai,12117,2025-11-01 12:08:43.905458
R_kgDOJXMMyg,MOSS,OpenMOSS,12056,2025-11-01 12:08:46.250195
R_kgDOJaV0Gg,ComfyUI-Manager,Comfy-Org,12028,2025-11-01 12:08:48.527082
R_kgDOJN9KGA,h2ogpt,h2oai,11944,2025-11-01 12:08:50.885374
R_kgDOJJTOAA,LLMSurvey,RUCAIBox,11919,2025-11-01 12:08:53.229029
R_kgDOKFeYBA,deepeval,confident-ai,11914,2025-11-01 12:08:56.735220
R_kgDOJYk1Cg,OpenLLM,bentoml,11894,2025-11-01 12:08:59.017100
R_kgDOK4ZTRg,InstantID,instantX-research,11843,2025-11-01 12:09:01.430111
R_kgDOJwlzXg,AnimateDiff,guoyww,11839,2025-11-01 12:09:07.060475
R_kgDOJvT6bg,instructor,567-labs,11737,2025-11-01 12:09:09.454959
R_kgDOIzPnqw,shell_gpt,TheR1D,11491,2025-11-01 12:09:11.783613
R_kgDOJMLjFw,awesome-chatgpt-zh,EmbraceAGI,11361,2025-11-01 12:09:14.118048
R_kgDOJgX1Gg,ragas,explodinggradients,11260,2025-11-01 12:09:21.436812
R_kgDOKwGN4A,magic-animate,magic-research,10866,2025-11-01 12:09:23.759324
R_kgDOI50pMA,keep,keephq,10865,2025-11-01 12:09:26.155160
R_kgDOJ15Eog,promptflow,microsoft,10843,2025-11-01 12:09:29.745176
R_kgDOKXoMww,Deep-Live-Cam,hacksider,74625,2025-11-01 15:29:57.588537
R_kgDOI7jmAw,langflow,langflow-ai,136836,2025-11-01 15:29:40.679557
R_kgDOKtchNQ,screenshot-to-code,abi,71106,2025-11-01 15:30:01.284233
R_kgDOJL0ZtQ,gpt_academic,binary-husky,69467,2025-11-01 15:30:06.520620
R_kgDOJQK9zA,gpt4free,xtekky,65464,2025-11-01 15:30:11.381940
R_kgDOI7xefg,vllm,vllm-project,61653,2025-11-01 15:30:14.720536
R_kgDOJodxvg,LLaMA-Factory,hiyouga,61546,2025-11-01 15:30:19.680136
R_kgDOJ7brVg,open-interpreter,openinterpreter,60757,2025-11-01 15:30:23.061676
R_kgDOJ182Uw,MetaGPT,FoundationAgents,59158,2025-11-01 15:21:21.220141
R_kgDOI9q_QQ,llama,meta-llama,58889,2025-11-01 15:21:28.238010
R_kgDOJd0Akg,private-gpt,zylon-ai,56726,2025-11-01 15:21:34.534293
R_kgDOJc1_Sg,gpt-engineer,AntonOsika,54989,2025-11-01 15:21:43.904504
R_kgDOKInPBw,autogen,microsoft,51298,2025-11-01 15:21:56.181509
R_kgDOKznBOA,unsloth,unslothai,47711,2025-11-01 15:22:02.428421
R_kgDOKFVBpg,Fooocus,lllyasviel,46913,2025-11-01 15:22:07.592557
R_kgDOJxtHSw,mem0,mem0ai,42419,2025-11-01 15:22:12.517189
R_kgDOJI72qw,ChatGLM-6B,zai-org,41148,2025-11-01 15:22:18.332986
R_kgDOKlrpgA,crewAI,crewAIInc,39929,2025-11-01 15:22:23.443850
R_kgDOJLWfsQ,FastChat,lm-sys,39199,2025-11-01 15:22:28.329880
R_kgDOJibVLQ,quivr,QuivrHQ,38566,2025-11-01 15:22:32.010854
R_kgDOJhC06Q,aider,Aider-AI,38153,2025-11-01 15:22:39.600535
R_kgDOJQ_nbA,Langchain-Chatchat,chatchat-space,36387,2025-11-01 15:22:45.500956
R_kgDOJkkUqA,DragGAN,XingangPan,35989,2025-11-01 15:22:52.100549
R_kgDOKzf7EQ,OpenVoice,myshell-ai,35267,2025-11-01 15:22:57.290563
R_kgDOJEXQ7A,TaskMatrix,chenfei-wu,34354,2025-11-01 15:23:04.996792
R_kgDOJaT1fQ,GPT_API_free,chatanywhere,33942,2025-11-01 15:23:11.809605
R_kgDOKHxYbg,gpt-pilot,Pythagora-io,33549,2025-11-01 15:23:18.099369
R_kgDOI4SeyQ,ControlNet,lllyasviel,33234,2025-11-01 15:23:22.491002
R_kgDOJO0j8A,Retrieval-based-Voice-Conversion-WebUI,RVC-Project,32705,2025-11-01 15:23:27.163386
R_kgDOKALCgQ,litellm,BerriAI,30557,2025-11-01 15:23:33.350047
R_kgDOJoiDfg,roop,s0md3v,30326,2025-11-01 15:23:36.513624
R_kgDOJIDl7g,stanford_alpaca,tatsu-lab,30195,2025-11-01 15:23:43.472429
R_kgDOIv2ufA,dspy,stanfordnlp,29666,2025-11-01 15:23:48.843423
R_kgDOKnH2Ag,marker,datalab-to,29513,2025-11-01 15:23:52.175017
R_kgDOJHyA4Q,so-vits-svc,svc-develop-team,27723,2025-11-01 15:23:55.765971
R_kgDOKMNg3A,ChatDev,OpenBMB,27654,2025-11-01 15:24:01.130018
R_kgDOKnOxWA,Genesis,Genesis-Embodied-AI,27503,2025-11-01 15:24:08.267566
R_kgDOJXTs2A,MiniGPT-4,Vision-CAIR,25744,2025-11-01 15:24:19.846883
R_kgDOKIX9_g,facefusion,facefusion,25670,2025-11-01 15:24:24.878306
R_kgDOJQWEAw,JARVIS,microsoft,24430,2025-11-01 15:24:29.074165
R_kgDOJiMc3A,gpt-researcher,assafelovic,23997,2025-11-01 15:24:32.664588
R_kgDOKePR1A,fish-speech,fishaudio,23931,2025-11-01 15:24:35.990692
R_kgDOJX9YRg,LLaVA,haotian-liu,23870,2025-11-01 15:24:40.485942
R_kgDOJaA_Jg,pandas-ai,sinaptik-ai,22491,2025-11-01 15:24:43.709908
R_kgDOKixgRQ,DeepSeek-Coder,deepseek-ai,22300,2025-11-01 15:24:48.684221
R_kgDOJm2SAQ,localGPT,PromtEngineer,21972,2025-11-01 15:24:55.713797
R_kgDOJR45Sg,babyagi,yoheinakajima,21908,2025-11-01 15:25:02.624692
R_kgDOJctRlg,mlc-llm,mlc-ai,21547,2025-11-01 15:25:07.240314
R_kgDOJip43g,vanna,vanna-ai,21377,2025-11-01 15:25:13.170035
R_kgDOJNLbCA,chatgpt-retrieval-plugin,openai,21229,2025-11-01 15:25:19.255816
R_kgDOJHSNSQ,awesome-free-chatgpt,LiLittleCat,20537,2025-11-01 15:25:27.047999
R_kgDOKFU0lQ,langgraph,langchain-ai,20499,2025-11-01 15:25:34.136134
R_kgDOJxDQUw,HivisionIDPhotos,Zeyi-Lin,20030,2025-11-01 15:25:41.573098
R_kgDOKC2TNA,Qwen,QwenLM,19626,2025-11-01 15:25:44.916106
R_kgDOJ3XBig,gaussian-splatting,graphdeco-inria,19210,2025-11-01 15:25:48.410965
R_kgDOJG_GcA,ChatPaper,kaixindelele,19093,2025-11-01 15:25:51.464346
R_kgDOKe01qA,letta,letta-ai,18997,2025-11-01 15:25:56.218615
R_kgDOI8jj-Q,faster-whisper,SYSTRAN,18819,2025-11-01 15:26:04.429912
R_kgDOKTUe1A,MaxKB,1Panel-dev,18808,2025-11-01 15:26:09.001556
R_kgDOI89zkg,sd-webui-controlnet,Mikubill,17834,2025-11-01 15:26:13.545491
R_kgDOJWaV9g,DB-GPT,eosphoros-ai,17555,2025-11-01 15:26:19.549800
R_kgDOI44gKw,DocsGPT,arc53,17310,2025-11-01 15:26:24.033365
R_kgDOI1Cqzg,evals,openai,17214,2025-11-01 15:26:30.424678
R_kgDOJihq1Q,SuperAGI,TransformerOptimus,16821,2025-11-01 15:26:34.002589
R_kgDOKHF8zA,marimo,marimo-team,16731,2025-11-01 15:26:41.167372
R_kgDOKK-33g,codellama,meta-llama,16361,2025-11-01 15:26:46.406246
R_kgDOK0Ntvw,mamba,state-spaces,16274,2025-11-01 15:26:50.488914
R_kgDOJzau0A,ChatGLM2-6B,zai-org,15698,2025-11-01 15:26:53.888005
R_kgDOJb7SKw,onyx,onyx-dot-app,15642,2025-11-01 15:26:59.415172
R_kgDOJEdt9g,ChuanhuChatGPT,GaiZhenbiao,15435,2025-11-01 15:27:04.409679
R_kgDOI-e9uw,pygwalker,Kanaries,15348,2025-11-01 15:27:11.557598
R_kgDOJhWgDg,opik,comet-ml,15336,2025-11-01 15:27:21.304732
R_kgDOKbB_hA,pyvideotrans,jianchang512,15028,2025-11-01 15:27:28.991713
R_kgDOJ9K-lQ,Llama-Chinese,LlamaFamily,14725,2025-11-01 15:27:34.768212
R_kgDOJK_ylg,camel,camel-ai,14677,2025-11-01 15:27:40.518526
R_kgDOKZ8KLA,llmware,llmware-ai,14440,2025-11-01 15:27:47.544452
R_kgDOKlQq4Q,ChatGLM3,zai-org,13745,2025-11-01 15:27:53.303917
R_kgDOJe5Eww,litgpt,Lightning-AI,12884,2025-11-01 15:27:57.865703
R_kgDOJK5PTA,outlines,dottxt-ai,12772,2025-11-01 15:28:02.107984
R_kgDOJ8S0QQ,python-mastery,dabeaz-course,12213,2025-11-01 15:28:12.607298
R_kgDOIygeJg,ComfyUI,comfyanonymous,92482,2025-11-01 15:29:49.780889
R_kgDOJN26mg,dolly,databrickslabs,10797,2025-11-01 12:09:32.101003
R_kgDOKCN3PA,ms-swift,modelscope,10795,2025-11-01 12:09:36.636887
R_kgDOKCZFAw,FlagEmbedding,FlagOpen,10772,2025-11-01 12:09:38.943353
R_kgDOJWpdTQ,axolotl,axolotl-ai-cloud,10712,2025-11-01 12:09:42.583080
R_kgDOJMKtLg,stock,myhhub,10572,2025-11-01 12:09:44.899657
R_kgDOK3Aozg,DiffSynth-Studio,modelscope,10511,2025-11-01 12:09:48.588085
R_kgDOKzEQCA,StreamDiffusion,cumulo-autumn,10490,2025-11-01 12:09:50.906046
R_kgDOI9M0iA,Time-Series-Library,thuml,10447,2025-11-01 12:09:53.314351
R_kgDOJPKy4A,the-algorithm-ml,twitter,10386,2025-11-01 12:09:55.665022
R_kgDOJKPe4Q,AudioGPT,AIGC-Audio,10195,2025-11-01 12:09:58.082321
R_kgDOJRhX7A,llm,simonw,10029,2025-11-01 12:10:00.423997
R_kgDOKpD2DQ,self-operating-computer,OthersideAI,9964,2025-11-01 12:10:02.824722
R_kgDOJpg2lA,MoviePilot,jxxghp,9765,2025-11-01 12:10:05.486097
R_kgDOJNPtrQ,llama-cpp-python,abetlen,9697,2025-11-01 12:10:09.074312
R_kgDOJsg_Hg,nougat,facebookresearch,9691,2025-11-01 12:10:11.410944
R_kgDOJxLovg,aws-devops-zero-to-hero,iam-veeramalla,9671,2025-11-01 12:10:13.833823
R_kgDOIxN0_A,ChatRWKV,BlinkDL,9508,2025-11-01 12:10:16.186467
R_kgDOKttVkw,Amphion,open-mmlab,9468,2025-11-01 12:10:18.568786
R_kgDOJaUmLw,WizardLM,nlpxucan,9458,2025-11-01 12:10:22.116435
R_kgDOKwjHXw,InternVL,OpenGVLab,9410,2025-11-01 12:10:24.464111
R_kgDOI-XrNQ,FlexLLMGen,FMInference,9370,2025-11-01 12:10:26.774405
R_kgDOJ4EDkg,pr-agent,qodo-ai,9364,2025-11-01 12:10:29.109068
R_kgDOKOX-yw,krita-ai-diffusion,Acly,9307,2025-11-01 12:10:31.459806
R_kgDOK_V-qA,Game-Cheats-Manager,dyang886,9279,2025-11-01 12:10:33.874532
R_kgDOJHQl2A,GroundingDINO,IDEA-Research,9170,2025-11-01 12:10:36.258831
R_kgDOJJ8PKA,so-vits-svc-fork,voicepaw,9166,2025-11-01 12:10:38.757603
R_kgDOKHwPcw,XHS-Downloader,JoeanAmier,9062,2025-11-01 12:10:41.081477
R_kgDOJEr4DA,OpenChatKit,togethercomputer,9013,2025-11-01 12:10:43.498481
R_kgDOJC5MQg,PentestGPT,GreyDGL,8986,2025-11-01 12:10:45.860625
R_kgDOKIr6kQ,March7thAssistant,moesnow,8984,2025-11-01 12:10:48.148312
R_kgDOJEO80Q,bilingual_book_maker,yihong0618,8913,2025-11-01 12:10:51.720859
R_kgDOKJ_fNQ,magika,google,8904,2025-11-01 12:10:54.107112
R_kgDOKU7oWQ,FastUI,pydantic,8892,2025-11-01 12:10:56.487671
R_kgDOI4UJLw,Jenkins-Zero-To-Hero,iam-veeramalla,8889,2025-11-01 12:10:58.842821
R_kgDOK-rdlw,moondream,vikhyat,8860,2025-11-01 12:11:01.185300
R_kgDOJNZgNg,ImageBind,facebookresearch,8845,2025-11-01 12:11:03.555467
R_kgDOKM_6LA,RealtimeSTT,KoljaB,8839,2025-11-01 12:11:05.892878
R_kgDOKvaDCg,clone-voice,jianchang512,8805,2025-11-01 12:11:08.162472
R_kgDOK3qVpA,ollama-python,ollama,8788,2025-11-01 12:11:10.893843
R_kgDOKOecbQ,TinyLlama,jzhang38,8780,2025-11-01 12:11:13.726435
R_kgDOKKpgTw,WARP-Clash-API,vvbbnn00,8770,2025-11-01 12:11:17.132801
R_kgDOJvOO8g,inference,xorbitsai,8682,2025-11-01 12:11:20.432583
R_kgDOKdCo3g,ml-ferret,apple,8653,2025-11-01 12:11:23.752714
R_kgDOK-Kftw,pipecat,pipecat-ai,8637,2025-11-01 12:11:27.062385
R_kgDOKBFW1w,Bert-VITS2,fishaudio,8605,2025-11-01 12:11:29.349484
R_kgDOJ8cGcA,DouyinLiveRecorder,ihmily,8534,2025-11-01 12:11:32.684332
R_kgDOJPHIXw,LMFlow,OptimalScale,8475,2025-11-01 12:11:35.033101
R_kgDOKgx67A,XAgent,OpenBMB,8457,2025-11-01 12:11:37.342144
R_kgDOKq2n8Q,EmotiVoice,netease-youdao,8363,2025-11-01 12:11:39.726679
R_kgDOKkuyPg,video-subtitle-remover,YaoFANGUK,8337,2025-11-01 12:11:42.039147
R_kgDOKBQ9ow,OpenRLHF,OpenRLHF,8290,2025-11-01 12:11:45.368828
R_kgDOKVXZtw,The-Grand-Complete-Data-Science-Materials,krishnaik06,8257,2025-11-01 12:11:47.742082
R_kgDOJyC3pg,FastSAM,CASIA-IVA-Lab,8124,2025-11-01 12:11:50.202046
R_kgDOI2D9Ww,polar,polarsource,8084,2025-11-01 12:11:52.503043
R_kgDOKiqzdw,agents,livekit,8038,2025-11-01 12:11:55.987637
R_kgDOI74gHg,EdgeGPT,acheong08,7974,2025-11-01 12:11:58.229669
R_kgDOKzRsIQ,mlx-examples,ml-explore,7958,2025-11-01 12:12:00.582325
R_kgDOKBCaZg,VALL-E-X,Plachtaa,7956,2025-11-01 12:12:02.921780
R_kgDOKH31kA,cognee,topoteretes,7839,2025-11-01 12:12:05.339564
R_kgDOIz_8sg,IF,deep-floyd,7837,2025-11-01 12:12:07.714687
R_kgDOKcWSkA,hello-sql,mouredev,7812,2025-11-01 12:12:10.042146
R_kgDOJNon3w,GPTCache,zilliztech,7810,2025-11-01 12:12:12.394552
R_kgDOI55lCg,paper-qa,Future-House,7792,2025-11-01 12:12:14.751620
R_kgDOKQSOaw,cs249r_book,harvard-edge,7634,2025-11-01 12:12:17.079985
R_kgDOJ-2Wvw,CodeGeeX2,zai-org,7611,2025-11-01 12:12:19.403849
R_kgDOJtVdAQ,MediaCrawler,NanmiCoder,38456,2025-11-01 15:22:36.517493
R_kgDOJygEMA,generative-models,Stability-AI,26558,2025-11-01 15:24:14.955169
R_kgDOJJ3cdQ,Chinese-LLaMA-Alpaca,ymcui,18937,2025-11-01 15:25:59.580758
R_kgDOJk1u1A,gorilla,ShishirPatil,12518,2025-11-01 15:28:07.289922
R_kgDOJKSTjA,AutoGPT,Significant-Gravitas,179405,2025-11-01 15:29:34.944905
